,Title,Link,Date of document,Download date,Downloaded language,Downloaded doctype,Author,Form,Subject matter
0,"amending Regulations (EU) 2018/841 as regards the scope, simplifying the compliance rules, setting out the targets of the Member States for 2030 and committing to the collective achievement of climate neutrality by 2035 in the land use, forestry and agriculture sector, and (EU) 2018/1999 as regards improvement in monitoring, reporting, tracking of progress and review",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0554,14.7.2021,21/04/2022 13:09:05,EN,HTML,"European Commission, Directorate-General for Climate Action",Proposal for a regulation,pollution control measures;environmental monitoring;adaptation to climate change;land use;EU Member State;greenhouse gas;EU environmental policy;farming sector;European forestry policy;carbon neutrality
1,amending Regulation (EU) 2018/842 on binding annual greenhouse gas emission reductions by Member States from 2021 to 2030 contributing to climate action to meet commitments under the Paris Agreement,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=COM:2021:555:FIN,14.7.2021,21/04/2022 13:09:07,EN,HTML,"European Commission, Directorate-General for Climate Action",Proposal for a regulation,pollution control;environmental monitoring;international agreement;adaptation to climate change;EU emission allowance;EU Member State;climate change;greenhouse gas;EU environmental policy;reduction of gas emissions
2,"amending Directive (EU) 2018/2001 of the European Parliament and of the Council,  Regulation (EU) 2018/1999 of the European Parliament and of the Council and Directive 98/70/EC of the European Parliament and of the Council  as regards the promotion of energy from renewable sources, and repealing Council Directive (EU) 2015/652",https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0557,14.7.2021,21/04/2022 13:09:09,EN,HTML,"European Commission, Directorate-General for Energy",Proposal for a directive,energy consumption;pollution control measures;energy production;renewable resources;greenhouse gas;reduction of gas emissions;energy saving;energy efficiency;renewable energy;EU energy policy
3,on energy efficiency (recast),https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0558,14.7.2021,21/04/2022 13:09:12,EN,HTML,"European Commission, Directorate-General for Energy",Proposal for a directive,energy consumption;adaptation to climate change;energy cooperation;energy use;reduction of gas emissions;energy saving;energy efficiency;EU energy policy
4,amending Directive 2003/87/EC as regards aviation's contribution to the Union’s economy-wide emission reduction target and appropriately implementing a global market-based measure,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0552,14.7.2021,21/04/2022 13:09:14,EN,HTML,"European Commission, Directorate-General for Climate Action",Proposal for a directive,pollution control measures;environmental protection;emission trading;EU emission allowance;air transport;auction sale;greenhouse gas;tradeable emission permit;EU environmental policy;reduction of gas emissions
5,on ensuring a level playing field for sustainable air transport,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0561,14.7.2021,21/04/2022 13:09:15,EN,HTML,"European Commission, Directorate-General for Mobility and Transport",Proposal for a regulation,air quality;aviation fuel;air transport;greenhouse gas;reduction of gas emissions;sustainable mobility;renewable energy;biofuel
6,on the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021PC0562,14.7.2021,21/04/2022 13:09:16,EN,HTML,"European Commission, Directorate-General for Mobility and Transport",Proposal for a regulation,pollution from ships;energy resources;renewable resources;maritime transport;greenhouse gas;reduction of gas emissions;marine fuel
7,"on the deployment of alternative fuels infrastructure, and repealing Directive 2014/94/EU of the European Parliament and of the Council",https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021PC0559,14.7.2021,21/04/2022 13:09:18,EN,HTML,"European Commission, Directorate-General for Mobility and Transport",Proposal for a regulation,hydrogen;transport infrastructure;motor vehicle pollution;clean technology;electric vehicle;electricity supply;substitute fuel;reduction of gas emissions;sustainable mobility;renewable energy
8,A strategic rollout plan to outline a set of supplementary actions to support the rapid deployment of alternative fuels infrastructure,https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021DC0560,14.7.2021,21/04/2022 13:09:20,EN,HTML,"European Commission, Directorate-General for Mobility and Transport",Communication,hydrogen;investment policy;energy resources;renewable resources;clean technology;electric vehicle;substitute fuel;reduction of gas emissions;sustainable mobility;renewable energy
9,zur Änderung der Verordnung (EU) 2019/631 im Hinblick auf eine Verschärfung der CO2-Emissionsnormen für neue Personenkraftwagen und für neue leichte Nutzfahrzeuge im Einklang mit den ehrgeizigeren Klimazielen der Union ,https://eur-lex.europa.eu/legal-content/de/TXT/HTML/?uri=CELEX:52021PC0556,den 14.7.2021,21/04/2022 13:09:21,DE,HTML,"Europäische Kommission, Generaldirektion Klimapolitik",Vorschlag für eine Verordnung,Energieverbrauch;Bekämpfung der Umweltbelastungen;Luftqualität;Verschmutzung durch das Auto;Automobil;Kraftfahrzeug;Nutzfahrzeug;Treibhausgas;Umweltnorm;Verringerung der Emissionen von Treibhausgasen
10,establishing a carbon border adjustment mechanism,https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021PC0564,14.7.2021,21/04/2022 13:09:23,EN,HTML,"European Commission, Directorate-General for Taxation and Customs Union",Proposal for a regulation,third country;originating product;import (EU);adaptation to climate change;emission trading;carbon;climate change;greenhouse gas;surveillance concerning imports;carbon neutrality
11,'Fit for 55': delivering the EU's 2030 Climate Target on the way to climate neutrality,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021DC0550,14.7.2021,21/04/2022 13:10:37,EN,HTML,"European Commission, Secretariat-General",Communication,innovation;clean technology;adaptation to climate change;emission trading;carbon;climate change;greenhouse gas;green economy;carbon neutrality;EU energy policy
12,restructuring the Union framework for the taxation of energy products and electricity (recast),https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021PC0563,14.7.2021,21/04/2022 13:10:39,EN,HTML,"European Commission, Directorate-General for Taxation and Customs Union",Proposal for a directive,fiscal policy;energy-generating product;environmental tax;electrical energy
13,amending Directive 2003/87/EC as regards the notification of offsetting in respect of a global market-based measure for aircraft operators based in the Union,https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021PC0567,14.7.2021,21/04/2022 13:10:40,EN,HTML,"European Commission, Directorate-General for Climate Action",Proposal for a decision,pollution control measures;environmental protection;international standard;emission allowance;air transport;international transport;carbon;greenhouse gas;tradeable emission permit;reduction of gas emissions
14,amending Decision (EU) 2015/1814 as regards the amount of allowances to be placed in the market stability reserve for the Union greenhouse gas emission trading scheme until 2030,https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021PC0571,14.7.2021,21/04/2022 13:10:41,EN,HTML,"European Commission, Directorate-General for Climate Action",Proposal for a decision,pollution control measures;environmental protection;reserves;EU Emissions Trading Scheme;EU emission allowance;auction sale;greenhouse gas;EU environmental policy;reduction of gas emissions
15,establishing a Social Climate Fund,https://eur-lex.europa.eu/legal-content/en/TXT/HTML/?uri=CELEX:52021PC0568,14.7.2021,21/04/2022 13:10:43,EN,HTML,"European Commission, Directorate-General for Climate Action",Proposal for a regulation,fund (EU);investment;household;adaptation to climate change;emission trading;transport user;greenhouse gas;reduction of gas emissions;micro-enterprise;social impact
16,New EU Forest Strategy for 2030,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52021DC0572,16.7.2021,21/04/2022 13:10:45,EN,HTML,"European Commission, Directorate-General for Agriculture and Rural Development",Communication,forest;wood industry;wooded area;adaptation to climate change;forest conservation;sustainable forest management;European forestry policy;forestry economics;EU strategy
